"sc-jGFFOr href","sc-s1isp7-5 src","sc-1hez2tp-0 2","sc-1hp8d8a-0","sc-1q7bklc-1","sc-1hez2tp-0 3","sc-1hez2tp-0 4","sc-s1isp7-5 src 2","sc-s1isp7-5 src 3","sc-s1isp7-5 src 4","sc-s1isp7-5 src 5","sc-s1isp7-5 src 6","sc-s1isp7-5 src 7","sc-jGFFOr href 2","sc-s1isp7-5 src 8","sc-1hez2tp-0 9","sc-1hp8d8a-0 2","sc-1q7bklc-1 2","sc-1hez2tp-0 10","sc-s1isp7-5 src 9","sc-s1isp7-5 src 10","sc-s1isp7-5 src 11","sc-s1isp7-5 src 12","sc-s1isp7-5 src 13","sc-s1isp7-5 src 14","sc-jGFFOr href 3","sc-s1isp7-5 src 15","sc-1hez2tp-0 16","sc-1hp8d8a-0 3","sc-1q7bklc-1 3","sc-1hez2tp-0 17","sc-1hez2tp-0 18","sc-s1isp7-5 src 16","sc-s1isp7-5 src 17","sc-s1isp7-5 src 18","sc-s1isp7-5 src 19","sc-s1isp7-5 src 20","sc-s1isp7-5 src 21"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.zomato.com/brijwasisweetsworli/order","https://b.zmtcdn.com/data/pictures/chains/4/37624/42b32ec25beb9c4f49c6e1eae7eb36fe_o2_featured_v2.jpg","30 min","Brijwasi Sweets Original Since 1946","4.1","Mithai, Street Food, Fast Food, Desserts","₹150 for one","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","https://b.zmtcdn.com/data/o2_assets/0b07ef18234c6fdf9365ad1c274ae0631612687510.png","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://b.zmtcdn.com/data/o2_assets/0b07ef18234c6fdf9365ad1c274ae0631612687510.png","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/soam-grant-road/order","https://b.zmtcdn.com/data/pictures/8/38918/2130f9bb7d3f214b027db77791ee5964_o2_featured_v2.jpg","57 min","Soam","4.3","Gujarati, Street Food, North Indian, South Indian, Desserts, Beverages","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","https://b.zmtcdn.com/data/o2_assets/0b07ef18234c6fdf9365ad1c274ae0631612687510.png","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://b.zmtcdn.com/data/o2_assets/0b07ef18234c6fdf9365ad1c274ae0631612687510.png","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/udaya-lunch-home-chembur/order","https://b.zmtcdn.com/data/pictures/1/38931/a66def74685e44f8efeda2033f48cb65_o2_featured_v2.jpg","48 min","Udaya Lunch Home","4.0","South Indian, North Eastern, Chinese, Seafood, Biryani, Sichuan","₹150 for one","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","","","","",""
"https://www.zomato.com/mumbai/yauatcha-bandra-kurla-complex/order","https://b.zmtcdn.com/data/pictures/5/39675/4a7faf5fb2a8de6fe280ee4566be31f9_o2_featured_v2.jpg","51 min","Yauatcha","4.1","Asian, Seafood, Chinese, Sichuan, Desserts, Beverages","₹150 for one","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","https://b.zmtcdn.com/data/o2_assets/0b07ef18234c6fdf9365ad1c274ae0631612687510.png","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://b.zmtcdn.com/data/o2_assets/0b07ef18234c6fdf9365ad1c274ae0631612687510.png","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/evas-pizza-marol/order","https://b.zmtcdn.com/data/pictures/chains/3/39773/73c855fe26cfcac0e44ebaa7d9c2f5ce_o2_featured_v2.jpg","69 min","Eva's Pizza","4.0","Pizza, Fast Food, Sandwich, Salad","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","https://b.zmtcdn.com/data/o2_assets/0b07ef18234c6fdf9365ad1c274ae0631612687510.png","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://b.zmtcdn.com/data/o2_assets/0b07ef18234c6fdf9365ad1c274ae0631612687510.png","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/amul-ice-cream-parlour-chembur/order","https://b.zmtcdn.com/data/pictures/chains/6/40886/b7e6a27fe151db406fb04d2af3c0f1ce_o2_featured_v2.jpg","36 min","Amul Ice Cream Parlour","3.7","Ice Cream, Desserts, Shake","₹150 for one","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","","","","",""
"https://www.zomato.com/mumbai/hardeep-punjab-sion/order","https://b.zmtcdn.com/data/pictures/3/40853/0bde209ae22d654ea5f24041414aadeb_o2_featured_v2.jpg","29 min","Hardeep Punjab","4.1","North Indian, Mughlai, Sichuan, Chinese, Biryani, Beverages","₹150 for one","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","https://b.zmtcdn.com/data/o2_assets/0b07ef18234c6fdf9365ad1c274ae0631612687510.png","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://b.zmtcdn.com/data/o2_assets/0b07ef18234c6fdf9365ad1c274ae0631612687510.png","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/aparna-sion/order","https://b.zmtcdn.com/data/pictures/9/40879/9daf82e192279fd30521c30e2b66d1f2_o2_featured_v2.jpg","28 min","Aparna","4.0","North Indian, South Indian, Chinese, Seafood, Mughlai, Sichuan","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","https://b.zmtcdn.com/data/o2_assets/0b07ef18234c6fdf9365ad1c274ae0631612687510.png","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://b.zmtcdn.com/data/o2_assets/0b07ef18234c6fdf9365ad1c274ae0631612687510.png","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/hariyali-wadala/order","https://b.zmtcdn.com/data/pictures/8/40828/923f3fffefc4c750b6b52d645f503d39_o2_featured_v2.jpg","22 min","Hariyali","4.0","North Indian, Chinese, Maharashtrian, Biryani, Sichuan","₹150 for one","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","https://b.zmtcdn.com/data/o2_assets/695598f38d29d0e5d3f8ffe57cfdb94c1613145422.png","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://b.zmtcdn.com/data/o2_assets/695598f38d29d0e5d3f8ffe57cfdb94c1613145422.png","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0"
"https://www.zomato.com/mumbai/la-pinoz-pizza-matunga-east/order","https://b.zmtcdn.com/data/pictures/chains/2/18796372/0216a546d44b0225ce89ae448a1dffa0_o2_featured_v2.jpg","21 min","La Pino'z Pizza","4.0","Pizza, Italian, Pasta, Fast Food, Beverages, Desserts","₹150 for one","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/mcdonalds-dadar-west/order","https://b.zmtcdn.com/data/pictures/chains/9/35079/a153257d68de3a60406ac31c98f39ccc_o2_featured_v2.jpg","18 min","McDonald's","3.9","Burger, Fast Food, Desserts, Beverages","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/dominos-pizza-parel/order","https://b.zmtcdn.com/data/pictures/chains/1/47211/e8cf1c58f2bb217f3d85ff50b7fe39a3_o2_featured_v2.jpg","25 min","Domino's Pizza","3.6","Pizza, Italian, Pasta, Fast Food, Desserts","₹150 for one","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0"
"https://www.zomato.com/mumbai/burger-king-dadar-west/order","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","22 min","Burger King","","Burger, Fast Food, Street Food, Desserts, Beverages","₹150 for one","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/pizza-hut-dadar-west/order","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","26 min","Pizza Hut","4.0","Pizza, Fast Food, Desserts, Beverages","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/SubwayMatunga/order","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","15 min","Subway","3.9","Healthy Food, Fast Food, Sandwich, Salad, Wraps, Beverages","₹150 for one","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0"
"https://www.zomato.com/mumbai/oye-kiddan-worli/order","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","49 min","Oye Kiddan","3.8","North Indian, Street Food, Beverages, Desserts","₹150 for one","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/sbarro-new-york-pizza-worli/order","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","37 min","Sbarro - New York Pizza","3.6","Pizza, Fast Food, Italian","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/arab-restaurant-sewri/order","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","25 min","Arab Restaurant","4.1","Biryani, Mughlai, North Indian, Chinese, Sichuan, Fast Food, Desserts, Beverages","₹150 for one","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0"
"https://www.zomato.com/mumbai/chitale-xpress-dadar-west/order","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","20 min","Chitale Xpress","4.3","Mithai, Street Food","₹150 for one","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","","","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","","","https://www.zomato.com/mumbai/kfc-dadar-shivaji-park/order","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","27 min","KFC","","Burger, Fast Food, Biryani, Beverages, Desserts","","","","","","","https://www.zomato.com/mumbai/merwans-cake-stop-dadar-west/order","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","19 min","Merwans Cake Stop","4.4","Bakery, Desserts, Fast Food, Rolls, Pizza","₹150 for one","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","","","","",""
"https://www.zomato.com/mumbai/chinese-wok-wadala/order","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","20 min","Chinese Wok","4.0","Chinese, Asian, Momos","₹250 for one","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/dabba-garam-worli/order","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","40 min","Dabba Garam","3.8","North Indian, South Indian, Street Food, Desserts","","","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","","","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/the-belgian-waffle-co-matunga-east/order","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","21 min","The Belgian Waffle Co.","4.0","Waffle, Pancake, Ice Cream, Desserts, Beverages","₹250 for one","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0"
"https://www.zomato.com/mumbai/natural-ice-cream-matunga-east/order","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","13 min","Natural Ice Cream","4.5","Ice Cream, Desserts, Beverages","₹250 for one","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/theobroma-matunga-east/order","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","10 min","Theobroma","4.2","Bakery, Desserts, Beverages","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/meraki-1-santacruz-east/order","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","49 min","Meraki","4.0","Chinese, Thai, Burmese, Asian, Seafood, Momos, Sichuan","₹250 for one","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0","https://www.zomato.com/mumbai/delivery?rating_range=3.5-5.0"
