"sc-rbbb40-0","sc-rbbb40-0 2","sc-rbbb40-0 3","sc-1hez2tp-0","sc-1hez2tp-0 2","sc-rbbb40-0 4","sc-s1isp7-5 src","sc-s1isp7-5 src 2","sc-s1isp7-5 src 3","sc-1hez2tp-0 3","sc-s1isp7-5 src 4","sc-1hez2tp-0 4","sc-s1isp7-5 src 5","sc-1hez2tp-0 5","sc-s1isp7-5 src 6","sc-1hez2tp-0 6","sc-s1isp7-5 src 7","sc-1hez2tp-0 7","sc-s1isp7-5 src 8","sc-1hez2tp-0 8","sc-s1isp7-5 src 9","sc-1hez2tp-0 9","sc-s1isp7-5 src 10","sc-1hez2tp-0 10","sc-s1isp7-5 src 11","sc-1hez2tp-0 11","sc-s1isp7-5 src 12","sc-1hez2tp-0 12","sc-jGFFOr href","sc-1hp8d8a-0","sc-1q7bklc-1","sc-jGFFOr href 2","sc-1hp8d8a-0 2","sc-1q7bklc-1 2","sc-1hez2tp-0 13","sc-jGFFOr href 3","sc-1hez2tp-0 14","sc-1hez2tp-0 15","sc-1hp8d8a-0 3","sc-1q7bklc-1 3","sc-1hez2tp-0 16","sc-1hez2tp-0 17","sc-1hez2tp-0 18","sc-1hez2tp-0 19","sc-s1isp7-5 src 13","sc-s1isp7-5 src 14","sc-s1isp7-5 src 15","sc-s1isp7-5 src 16","sc-s1isp7-5 src 17","sc-1hez2tp-0 22","sc-s1isp7-5 src 18","sc-1hez2tp-0 23","sc-s1isp7-5 src 19","sc-s1isp7-5 src 21","sc-1q7bklc-1 4"
"location-fill","down-triangle","current-location","Detect current location","Using GPS","Search","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","https://b.zmtcdn.com/data/o2_assets/c0bb85d3a6347b2ec070a8db694588261616149578.png?output-format=webp","https://b.zmtcdn.com/data/o2_assets/78d25215ff4c1299578ed36eefd5f39d1616149985.png?output-format=webp","https://b.zmtcdn.com/data/o2_assets/01040767e4943c398e38e3592bb1ba8a1616150142.png?output-format=webp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"filter","chevron-down","chevron-down","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Biryani","Pizza","","https://b.zmtcdn.com/data/dish_images/d19a31d42d5913ff129cafd7cec772f81639737697.png","https://b.zmtcdn.com/data/o2_assets/d0bd7c9405ac87f6aa65e31fe55800941632716575.png","https://b.zmtcdn.com/data/dish_images/ccb7dc2ba2b054419f805da7f05704471634886169.png","Burger","https://b.zmtcdn.com/data/dish_images/197987b7ebcd1ee08f8c25ea4e77e20f1634731334.png","Chicken","https://b.zmtcdn.com/data/o2_assets/52eb9796bb9bcf0eba64c643349e97211634401116.png","Thali","https://b.zmtcdn.com/data/o2_assets/e444ade83eb22360b6ca79e6e777955f1632716661.png","Fried Rice","https://www.zomato.com/mumbai/colaba-restaurants","Cake","https://www.zomato.com/mumbai/colaba-restaurants","Rolls","https://www.zomato.com/mumbai/colaba-restaurants","Sandwich","https://www.zomato.com/mumbai/colaba-restaurants","Noodles","https://www.zomato.com/mumbai/colaba-restaurants","Dosa","https://www.zomato.com/mumbai/colaba-restaurants","Paneer","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","","https://www.zomato.com/mumbai/colaba-restaurants","","https://www.zomato.com/mumbai/colaba-restaurants","","https://www.zomato.com/mumbai/colaba-restaurants","","https://www.zomato.com/mumbai/colaba-restaurants","","https://www.zomato.com/mumbai/colaba-restaurants","","https://www.zomato.com/mumbai/colaba-restaurants","","https://www.zomato.com/mumbai/colaba-restaurants","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"star-fill","star-fill","star-fill","Pro extra 15% OFF","50% OFF up to 100","","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","41 min","https://www.zomato.com/mumbai/colaba-restaurants","North Indian, South Indian, Chinese, Fast Food, Sandwich, Street Food, Ice Cream, Beverages","https://www.zomato.com/mumbai/colaba-restaurants","₹150 for one","https://www.zomato.com/mumbai/colaba-restaurants","9750+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/colaba-restaurants","9750+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/colaba-restaurants","24 min","https://www.zomato.com/mumbai/colaba-restaurants","Mughlai, North Indian, Chinese, Seafood, Biryani, Arabian, Lebanese, Sichuan","","₹150 for one","https://www.zomato.com/mumbai/sai-samrat-pure-veg-mumbai-central/order","Sai Samrat Pure Veg","3.8","https://www.zomato.com/mumbai/mao-family-restaurant-cuffe-parade/order","Mao  Family Restaurant","4.1","1700+ orders placed from here recently","https://www.zomato.com/mumbai/house-of-biryan-biryani-kepsa-and-more-byculla/order","60% OFF","48 min","House Of Biryan- Biryani, Kepsa And More","4.2","Biryani, North Indian","₹150 for one","1475+ orders placed from here recently","","","","","","","","","","","",""
"star-fill","star-fill","star-fill","Pro extra 15% OFF","50% OFF up to 100","","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","34 min","https://www.zomato.com/mumbai/colaba-restaurants","Pizza, Italian, Fast Food","https://www.zomato.com/mumbai/colaba-restaurants","₹150 for one","https://www.zomato.com/mumbai/colaba-restaurants","1400+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/colaba-restaurants","1400+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/colaba-restaurants","32 min","https://www.zomato.com/mumbai/colaba-restaurants","Pizza, Fast Food, Italian","https://www.zomato.com/mumbai/colaba-restaurants","₹150 for one","https://www.zomato.com/mumbai/hundo-pizza-marine-lines/order","Hundo Pizza","3.8","https://www.zomato.com/mumbai/sbarro-new-york-pizza-fort/order","Sbarro - New York Pizza","4.1","3350+ orders placed from here recently","https://www.zomato.com/mumbai/meraki-marine-lines/order","50% OFF up to 100","36 min","Meraki","3.8","Chinese, Asian, Fast Food","₹150 for one","6000+ orders placed from here recently","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","","","","","","",""
"star-fill","star-fill","star-fill","","50% OFF up to 100","","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","36 min","https://www.zomato.com/mumbai/colaba-restaurants","North Indian, Gujarati, Rajasthani","https://www.zomato.com/mumbai/colaba-restaurants","₹150 for one","https://www.zomato.com/mumbai/colaba-restaurants","6375+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/colaba-restaurants","6375+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/colaba-restaurants","29 min","https://www.zomato.com/mumbai/colaba-restaurants","Burger, Fast Food, Street Food, Desserts, Beverages","https://www.zomato.com/mumbai/colaba-restaurants","₹150 for one","https://www.zomato.com/mumbai/maharaja-bhog-kalbadevi/order","Maharaja Bhog","4.0","https://www.zomato.com/mumbai/burger-king-churchgate/order","Burger King","4.2","1375+ orders placed from here recently","https://www.zomato.com/mumbai/bharat-restaurant-mohammad-ali-road/order","50% OFF up to 100","44 min","Bharat Restaurant","3.2","Mughlai, Chinese, North Eastern, Biryani, Fast Food","₹150 for one","4500+ orders placed from here recently","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","","","","","","",""
"chevron-up","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"chevron-down","chevron-down","chevron-down","Explore options near me","","chevron-down","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"chevron-down","language-globe","chevron-down","","","","https://b.zmtcdn.com/data/webuikit/9f0c85a5e33adb783fa0aef667075f9e1556003622.png","https://b.zmtcdn.com/data/webuikit/23e930757c3df49840c482a8638bf5c31556001144.png","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"star-fill","star-fill","star-fill","50% OFF up to 100","19 min","","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","Burger, Fast Food, Desserts, Beverages","https://www.zomato.com/mumbai/colaba-restaurants","₹200 for one","https://www.zomato.com/mumbai/colaba-restaurants","4575+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/colaba-restaurants","4575+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/colaba-restaurants","23 min","https://www.zomato.com/mumbai/colaba-restaurants","Pizza, Fast Food, Desserts, Beverages","https://www.zomato.com/mumbai/colaba-restaurants","₹200 for one","","1325+ orders placed from here recently","https://www.zomato.com/mumbai/mcdonalds-colaba/order","McDonald's","4.0","https://www.zomato.com/mumbai/pizza-hut-colaba/order","Pizza Hut","3.8","50% OFF up to 100","https://www.zomato.com/mumbai/kfc-colaba/order","24 min","Burger, Fast Food, Biryani, Beverages, Desserts","KFC","3.5","₹200 for one","2850+ orders placed from here recently","","","","","","","","","","","","",""
"star-fill","star-fill","star-fill","50% OFF up to 100","25 min","","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","","Healthy Food, Fast Food, Sandwich, Salad, Wraps, Beverages","https://www.zomato.com/mumbai/colaba-restaurants","₹200 for one","","6375+ orders placed from here recently","","Restaurant partner follows WHO protocol","","6375+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/colaba-restaurants","15 min","https://www.zomato.com/mumbai/colaba-restaurants","Bakery, Desserts, Fast Food, Rolls, Pizza","https://www.zomato.com/mumbai/colaba-restaurants","₹200 for one","https://www.zomato.com/mumbai/colaba-restaurants","2025+ orders placed from here recently","https://www.zomato.com/mumbai/subway-colaba/order","Subway","3.6","https://www.zomato.com/mumbai/merwans-cake-stop-colaba/order","Merwans Cake Stop","4.3","50% OFF up to 100","https://www.zomato.com/mumbai/la-pinoz-pizza-1-kemps-corner/order","39 min","Pizza, Italian, Pasta, Fast Food, Beverages, Desserts","La Pino'z Pizza","3.7","₹200 for one","5400+ orders placed from here recently","","","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","","","","","","","",""
