"sc-rbbb40-0","sc-rbbb40-0 2","sc-rbbb40-0 3","sc-1hez2tp-0","sc-1hez2tp-0 2","sc-rbbb40-0 4","sc-s1isp7-5 src","sc-s1isp7-5 src 2","sc-s1isp7-5 src 3","sc-1hez2tp-0 3","sc-s1isp7-5 src 4","sc-1hez2tp-0 4","sc-s1isp7-5 src 5","sc-1hez2tp-0 5","sc-s1isp7-5 src 6","sc-1hez2tp-0 6","sc-s1isp7-5 src 7","sc-1hez2tp-0 7","sc-s1isp7-5 src 8","sc-1hez2tp-0 8","sc-s1isp7-5 src 9","sc-1hez2tp-0 9","sc-s1isp7-5 src 10","sc-1hez2tp-0 10","sc-s1isp7-5 src 11","sc-1hez2tp-0 11","sc-s1isp7-5 src 12","sc-1hp8d8a-0","sc-1q7bklc-1","sc-1hp8d8a-0 2","sc-1q7bklc-1 2","sc-1hez2tp-0 13","sc-1hez2tp-0 14","sc-1hp8d8a-0 3","sc-1q7bklc-1 3","sc-1hez2tp-0 15","sc-1hez2tp-0 16","sc-1hez2tp-0 17","sc-1hez2tp-0 18","sc-s1isp7-5 src 13","sc-1hez2tp-0 19","sc-s1isp7-5 src 14","sc-s1isp7-5 src 15","sc-s1isp7-5 src 16","sc-s1isp7-5 src 17","sc-s1isp7-5 src 18","sc-1hez2tp-0 21","sc-s1isp7-5 src 19","sc-s1isp7-5 src 21","sc-jGFFOr href","sc-jGFFOr href 2","sc-jGFFOr href 3","sc-1q7bklc-1 4","sc-1hez2tp-0 23"
"location-fill","down-triangle","current-location","Detect current location","Using GPS","Search","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","https://b.zmtcdn.com/data/o2_assets/c0bb85d3a6347b2ec070a8db694588261616149578.png?output-format=webp","https://b.zmtcdn.com/data/o2_assets/78d25215ff4c1299578ed36eefd5f39d1616149985.png?output-format=webp","https://b.zmtcdn.com/data/o2_assets/01040767e4943c398e38e3592bb1ba8a1616150142.png?output-format=webp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"filter","chevron-down","chevron-down","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Biryani","Pizza","","https://b.zmtcdn.com/data/dish_images/d19a31d42d5913ff129cafd7cec772f81639737697.png","https://b.zmtcdn.com/data/o2_assets/d0bd7c9405ac87f6aa65e31fe55800941632716575.png","https://b.zmtcdn.com/data/dish_images/197987b7ebcd1ee08f8c25ea4e77e20f1634731334.png","Chicken","https://b.zmtcdn.com/data/dish_images/ccb7dc2ba2b054419f805da7f05704471634886169.png","Burger","https://b.zmtcdn.com/data/dish_images/d5ab931c8c239271de45e1c159af94311634805744.png","Cake","https://b.zmtcdn.com/data/o2_assets/52eb9796bb9bcf0eba64c643349e97211634401116.png","Thali","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","Idli","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","Fried Rice","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","Sandwich","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","Rolls","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","Paratha","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"star-fill","star-fill","star-fill","50% OFF up to 100","50 min","","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","North Indian, South Indian, Chinese, Fast Food, Street Food, Ice Cream, Desserts, Beverages","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","₹150 for one","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","1800+ orders placed from here recently","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","14 min","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","Burger, Fast Food, Desserts, Beverages","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","₹150 for one","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","5950+ orders placed from here recently","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","Shiv Sagar Veg Restaurant","3.6","McDonald's","3.9","50% OFF up to 100","52 min","Maiz Mexican Kitchen","4.3","Mexican","₹150 for one","2950+ orders placed from here recently","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","2950+ orders placed from here recently","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","","","","","","","","","",""
"star-fill","star-fill","star-fill","50% OFF up to 100","13 min","","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","Bakery, Desserts","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","₹150 for one","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","4050+ orders placed from here recently","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","9 min","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","South Indian, Street Food, Chinese, Pizza, Sandwich, Shake, Beverages","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","₹150 for one","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","2200+ orders placed from here recently","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","Le 15 Patisserie","4.2","Amrut Sagar Fast Food","4.4","50% OFF up to 100","35 min","Ashraya Veg Restaurant","3.8","North Indian, South Indian, Chinese, Fast Food, Street Food, Beverages, Desserts, Shake","₹150 for one","10100+ orders placed from here recently","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","10100+ orders placed from here recently","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","4050+ orders placed from here recently","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","","","","",""
"star-fill","star-fill","star-fill","50% OFF up to 100","15 min","","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","Chinese, Asian, Momos","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","₹150 for one","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","2300+ orders placed from here recently","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","13 min","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","Bakery, Desserts, Mithai, Street Food, Fast Food","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","₹150 for one","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","4075+ orders placed from here recently","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","Chinese Wok","3.8","Dale's Eden Cake Shop","4.2","50% OFF up to 100","25 min","Domino's Pizza","3.8","Pizza, Italian, Pasta, Fast Food, Desserts","₹150 for one","2525+ orders placed from here recently","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","2525+ orders placed from here recently","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","2300+ orders placed from here recently","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","","","","",""
"chevron-up","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"chevron-down","chevron-down","chevron-down","Explore options near me","","chevron-down","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"chevron-down","language-globe","chevron-down","","","","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"star-fill","star-fill","star-fill","50% OFF up to 100","19 min","","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","Healthy Food, Fast Food, Sandwich, Salad, Wraps, Beverages","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","₹250 for one","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","8800+ orders placed from here recently","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","8800+ orders placed from here recently","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","12 min","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","Salad, Street Food, Fast Food","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","₹250 for one","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","Subway","3.6","Nothing But Chicken","4.1","Restaurant partner follows WHO protocol","4975+ orders placed from here recently","Mahabi Cakes Desserts Gelato","4.3","30% OFF","11 min","Bakery, Ice Cream, Shake, Desserts","₹250 for one","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","425+ orders placed from here recently","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","https://www.zomato.com/mumbai/hill-road-bandra-west-restaurants","","","","","","https://www.zomato.com/mumbai/subway-bandra-talao-bandra-west/order","https://www.zomato.com/mumbai/nothing-but-chicken-pali-hill-bandra-west/order","https://www.zomato.com/mumbai/mahabi-cakes-desserts-gelato-hill-road-bandra-west/order","",""
