"sc-s1isp7-5 src","sc-s1isp7-5 src 2","sc-s1isp7-5 src 3","sc-s1isp7-5 src 4","sc-s1isp7-5 src 5","sc-s1isp7-5 src 6","sc-s1isp7-5 src 7","sc-s1isp7-5 src 8","sc-s1isp7-5 src 9","sc-s1isp7-5 src 10","sc-jGFFOr href","sc-1hez2tp-0","sc-1hez2tp-0 2","sc-1hp8d8a-0","sc-1q7bklc-1","sc-rbbb40-0","sc-1hez2tp-0 3","sc-1hez2tp-0 4","sc-1hez2tp-0 5","sc-1hez2tp-0 6","sc-1hez2tp-0 7","sc-jGFFOr href 2","sc-1hez2tp-0 8","sc-1hez2tp-0 9","sc-1hp8d8a-0 2","sc-1q7bklc-1 2","sc-rbbb40-0 2","sc-1hez2tp-0 10","sc-1hez2tp-0 12","sc-1hez2tp-0 13","sc-s1isp7-5 src 11","sc-1hez2tp-0 14","sc-s1isp7-5 src 12","sc-s1isp7-5 src 13","sc-s1isp7-5 src 14","sc-jGFFOr href 3","sc-s1isp7-5 src 15","sc-1hez2tp-0 15","sc-1hez2tp-0 16","sc-1hp8d8a-0 3","sc-1q7bklc-1 3","sc-rbbb40-0 3","sc-1hez2tp-0 17","sc-1hez2tp-0 18","sc-s1isp7-5 src 16","sc-1hez2tp-0 19","sc-s1isp7-5 src 17","sc-1hez2tp-0 20","sc-s1isp7-5 src 18","sc-1hez2tp-0 21","sc-s1isp7-5 src 19","sc-s1isp7-5 src 20","sc-s1isp7-5 src 21","sc-1q7bklc-1 4","sc-rbbb40-0 4","sc-1hez2tp-0 23","sc-s1isp7-5 src 22"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://b.zmtcdn.com/data/brand_creatives/logos/0e6f4a6a6d54c88d548abaa04a0227bc_1625164827.png?output-format=webp","https://b.zmtcdn.com/data/brand_creatives/logos/1a985408ca7ad8fd097f2c47db9c5cb6_1611252779.png?output-format=webp","https://b.zmtcdn.com/data/brand_creatives/logos/9302c59eca94abbee01aec9acf9305f6_1676520651.png?output-format=webp","https://b.zmtcdn.com/data/brand_creatives/logos/6a11fd0f30c9fd9ceaff2f5b21f61d23_1617188211.png?output-format=webp","https://b.zmtcdn.com/data/brand_creatives/logos/11f0a050068db77b5b959dd97cc11965_1644900886.png?output-format=webp","https://b.zmtcdn.com/data/brand_creatives/logos/80c09d718acddee05a655eb378bb442f_1617874818.png?output-format=webp","https://www.zomato.com/mumbai/juhu-restaurants","https://www.zomato.com/mumbai/juhu-restaurants","https://www.zomato.com/mumbai/juhu-restaurants","https://www.zomato.com/mumbai/juhu-restaurants","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://b.zmtcdn.com/data/pictures/chains/8/19135228/0b2cd02883891943a822dc6beed1d020_o2_featured_v2.jpg?output-format=webp","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png?output-format=webp","https://b.zmtcdn.com/data/o2_assets/0b07ef18234c6fdf9365ad1c274ae0631612687510.png?output-format=webp","https://www.zomato.com/mumbai/juhu-restaurants","https://b.zmtcdn.com/data/o2_assets/0b07ef18234c6fdf9365ad1c274ae0631612687510.png?output-format=webp","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png?output-format=webp","https://www.zomato.com/mumbai/juhu-restaurants","https://b.zmtcdn.com/data/pictures/chains/9/35079/a153257d68de3a60406ac31c98f39ccc_o2_featured_v2.jpg?output-format=webp","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png?output-format=webp","https://b.zmtcdn.com/data/o2_assets/0b07ef18234c6fdf9365ad1c274ae0631612687510.png?output-format=webp","https://www.zomato.com/mumbai/good-flippin-burgers-juhu/order","50% OFF up to 100","21 min","Good Flippin' Burgers","4.3","star-fill","Burger, American, Fast Food","₹300 for one","5775+ orders placed from here recently","Follows all Max Safety measures to ensure your food is safe","5775+ orders placed from here recently","https://www.zomato.com/mumbai/mcdonalds-1-vile-parle-west/order","50% OFF up to 100","20 min","McDonald's","3.9","star-fill","Burger, Fast Food, Desserts, Beverages","7650+ orders placed from here recently","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/juhu-restaurants","7650+ orders placed from here recently","https://b.zmtcdn.com/data/o2_assets/0b07ef18234c6fdf9365ad1c274ae0631612687510.png?output-format=webp","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png?output-format=webp","https://www.zomato.com/mumbai/juhu-restaurants","https://www.zomato.com/mumbai/slyce-pizza-pali-hill-bandra-west/order","https://b.zmtcdn.com/data/pictures/8/20280328/6e51f70e3a1cc03ff344d0622fe14b76_o2_featured_v2.jpg?output-format=webp","50% OFF up to 100","33 min","Slyce Pizza","4.2","star-fill","Pizza, Italian, Fast Food","₹300 for one","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png?output-format=webp","4125+ orders placed from here recently","https://b.zmtcdn.com/data/o2_assets/0b07ef18234c6fdf9365ad1c274ae0631612687510.png?output-format=webp","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/juhu-restaurants","4125+ orders placed from here recently","https://b.zmtcdn.com/data/o2_assets/0b07ef18234c6fdf9365ad1c274ae0631612687510.png?output-format=webp","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png?output-format=webp","https://www.zomato.com/mumbai/juhu-restaurants","","","",""
"https://b.zmtcdn.com/data/pictures/chains/3/18140523/64e328ee2b6fe4d82aa36f2f5213f737_o2_featured_v2.jpg?output-format=webp","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png?output-format=webp","https://b.zmtcdn.com/data/o2_assets/0b07ef18234c6fdf9365ad1c274ae0631612687510.png?output-format=webp","https://www.zomato.com/mumbai/juhu-restaurants","https://b.zmtcdn.com/data/o2_assets/0b07ef18234c6fdf9365ad1c274ae0631612687510.png?output-format=webp","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png?output-format=webp","https://www.zomato.com/mumbai/juhu-restaurants","https://b.zmtcdn.com/data/pictures/2/18635722/4aeff422a2b0c6c3806dfc0c452b967f_o2_featured_v2.jpg?output-format=webp","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png?output-format=webp","https://b.zmtcdn.com/data/o2_assets/695598f38d29d0e5d3f8ffe57cfdb94c1613145422.png?output-format=webp","https://www.zomato.com/mumbai/the-belgian-waffle-co-2-juhu/order","50% OFF up to 100","21 min","The Belgian Waffle Co.","4.3","star-fill","Waffle, Pancake, Ice Cream, Desserts, Beverages","₹300 for one","775+ orders placed from here recently","Follows all Max Safety measures to ensure your food is safe","775+ orders placed from here recently","https://www.zomato.com/mumbai/rodeo-pizza-7-bungalows/order","50% OFF up to 100","29 min","Rodeo Pizza","3.9","star-fill","Pizza, Pasta, Fast Food","2675+ orders placed from here recently","Restaurant partner follows WHO protocol","https://www.zomato.com/mumbai/juhu-restaurants","2675+ orders placed from here recently","https://b.zmtcdn.com/data/o2_assets/695598f38d29d0e5d3f8ffe57cfdb94c1613145422.png?output-format=webp","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png?output-format=webp","https://www.zomato.com/mumbai/juhu-restaurants","https://www.zomato.com/mumbai/tibbs-frankie-serving-rolls-since-1969-1-vile-parle-west/order","https://b.zmtcdn.com/data/pictures/chains/2/38302/fea8da40a7efe8985ae56f804d8c929c_o2_featured_v2.jpg?output-format=webp","50% OFF up to 100","22 min","Tibb's Frankie- Serving Rolls Since 1969","3.9","star-fill","Rolls, North Indian, Beverages, Desserts","₹300 for one","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png?output-format=webp","875+ orders placed from here recently","","","","","","","","","","",""
"https://b.zmtcdn.com/data/pictures/8/20193688/bd36983c624240823cdbfaf09c5200cf_o2_featured_v2.jpg?output-format=webp","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png?output-format=webp","https://b.zmtcdn.com/data/o2_assets/0b07ef18234c6fdf9365ad1c274ae0631612687510.png?output-format=webp","https://www.zomato.com/mumbai/juhu-restaurants","https://b.zmtcdn.com/data/o2_assets/0b07ef18234c6fdf9365ad1c274ae0631612687510.png?output-format=webp","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png?output-format=webp","https://www.zomato.com/mumbai/juhu-restaurants","https://b.zmtcdn.com/data/pictures/4/34114/0eaeb990fb0dd9facd35f0dc449a17bf_o2_featured_v2.jpg?output-format=webp","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png?output-format=webp","","https://www.zomato.com/mumbai/zarine-manchandas-heavenly-flavours-4-bungalows/order","50% OFF up to 100","42 min","Zarine Manchanda's Heavenly Flavours","3.3","star-fill","Desserts, Biryani","₹300 for one","2225+ orders placed from here recently","Follows all Max Safety measures to ensure your food is safe","2225+ orders placed from here recently","https://www.zomato.com/mumbai/pappilon-vile-parle-west/order","50% OFF up to 100","21 min","Pappilon","4.0","star-fill","North Indian, South Indian, Chinese, Fast Food, Desserts, Shake, Beverages","625+ orders placed from here recently","","","","","","","https://www.zomato.com/mumbai/la-pinoz-pizza-vile-parle-east/order","https://b.zmtcdn.com/data/pictures/2/18796372/ab472a0e52242ad84ea57cdd18ec7d4a_o2_featured_v2.jpg?output-format=webp","50% OFF up to 100","30 min","La Pino'z Pizza","3.6","star-fill","Pizza, Italian, Pasta, Fast Food, Beverages, Desserts","₹300 for one","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png?output-format=webp","5425+ orders placed from here recently","https://b.zmtcdn.com/data/o2_assets/0b07ef18234c6fdf9365ad1c274ae0631612687510.png?output-format=webp","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/juhu-restaurants","5425+ orders placed from here recently","https://b.zmtcdn.com/data/o2_assets/0b07ef18234c6fdf9365ad1c274ae0631612687510.png?output-format=webp","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png?output-format=webp","https://www.zomato.com/mumbai/juhu-restaurants","","","",""
"https://b.zmtcdn.com/data/pictures/chains/1/49781/9617a08d29f9459ead8efcb63c116472_o2_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","https://b.zmtcdn.com/data/o2_assets/0b07ef18234c6fdf9365ad1c274ae0631612687510.png","https://www.zomato.com/mumbai/juhu-restaurants","https://b.zmtcdn.com/data/o2_assets/0b07ef18234c6fdf9365ad1c274ae0631612687510.png","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","https://www.zomato.com/mumbai/juhu-restaurants","https://b.zmtcdn.com/data/pictures/chains/9/35299/c8e3d85b773066868ec333d6f17782cb_o2_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","https://b.zmtcdn.com/data/pictures/chains/1/47211/e8cf1c58f2bb217f3d85ff50b7fe39a3_o2_featured_v2.jpg","https://www.zomato.com/mumbai/burger-king-andheri-lokhandwala/order","50% OFF up to 100","38 min","Burger King","3.7","star-fill","Burger, Fast Food, Street Food, Desserts, Beverages","₹200 for one","6500+ orders placed from here recently","Follows all Max Safety measures to ensure your food is safe","6500+ orders placed from here recently","https://www.zomato.com/mumbai/pizza-hut-3-vile-parle-west/order","50% OFF up to 100","26 min","Pizza Hut","3.4","star-fill","Pizza, Fast Food, Desserts, Beverages","4875+ orders placed from here recently","50% OFF up to 100","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","40 min","https://b.zmtcdn.com/data/o2_assets/0b07ef18234c6fdf9365ad1c274ae0631612687510.png","https://www.zomato.com/mumbai/juhu-restaurants","https://b.zmtcdn.com/data/o2_assets/0b07ef18234c6fdf9365ad1c274ae0631612687510.png","https://www.zomato.com/mumbai/dominos-pizza-1-juhu/order","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","Pizza, Italian, Pasta, Fast Food, Desserts","₹200 for one","Domino's Pizza","4.1","star-fill","2750+ orders placed from here recently","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/juhu-restaurants","2750+ orders placed from here recently","","","","","","","","","","",""
"https://b.zmtcdn.com/data/pictures/chains/7/37327/70372b1137630455e2dbf24bb142c14b_o2_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","https://b.zmtcdn.com/data/o2_assets/0b07ef18234c6fdf9365ad1c274ae0631612687510.png","https://www.zomato.com/mumbai/juhu-restaurants","https://b.zmtcdn.com/data/o2_assets/0b07ef18234c6fdf9365ad1c274ae0631612687510.png","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","https://www.zomato.com/mumbai/juhu-restaurants","https://b.zmtcdn.com/data/pictures/chains/0/35240/b25ba004748fe5420c4b75567c0f9ddc_o2_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","https://b.zmtcdn.com/data/pictures/chains/4/35004/7abe3076782b928c1ae27197f0af9dff_o2_featured_v2.jpg","https://www.zomato.com/mumbai/kfc-1-chakala/order","50% OFF up to 100","30 min","KFC","3.7","star-fill","Burger, Fast Food, Biryani, Beverages, Desserts","₹200 for one","10475+ orders placed from here recently","Follows all Max Safety measures to ensure your food is safe","10475+ orders placed from here recently","https://www.zomato.com/NaturalsJuhu/order","50% OFF up to 100","18 min","Natural Ice Cream","","","Ice Cream, Desserts, Beverages","4900+ orders placed from here recently","50% OFF up to 100","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","21 min","https://b.zmtcdn.com/data/o2_assets/695598f38d29d0e5d3f8ffe57cfdb94c1613145422.png","https://www.zomato.com/mumbai/juhu-restaurants","https://b.zmtcdn.com/data/o2_assets/695598f38d29d0e5d3f8ffe57cfdb94c1613145422.png","https://www.zomato.com/mumbai/subway-1-juhu/order","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","Healthy Food, Fast Food, Sandwich, Salad, Wraps, Beverages","₹200 for one","Subway","3.9","star-fill","2100+ orders placed from here recently","Restaurant partner follows WHO protocol","https://www.zomato.com/mumbai/juhu-restaurants","2100+ orders placed from here recently","https://b.zmtcdn.com/data/o2_assets/695598f38d29d0e5d3f8ffe57cfdb94c1613145422.png","Restaurant partner follows WHO protocol","https://www.zomato.com/mumbai/juhu-restaurants","4900+ orders placed from here recently","https://b.zmtcdn.com/data/o2_assets/695598f38d29d0e5d3f8ffe57cfdb94c1613145422.png","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","https://www.zomato.com/mumbai/juhu-restaurants","4.3","star-fill","",""
"https://b.zmtcdn.com/data/pictures/chains/1/19015111/b62a5cf0ae92446aef6425255d0b6890_o2_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","","https://www.zomato.com/mumbai/juhu-restaurants","","","","https://b.zmtcdn.com/data/pictures/chains/9/19314639/323ee614b67244f0e507adae2830604b_o2_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","https://b.zmtcdn.com/data/pictures/chains/4/19151724/bb20ba904ac625a674e08becb5eb123c_o2_featured_v2.jpg","https://www.zomato.com/mumbai/kwality-walls-frozen-dessert-and-ice-cream-shop-1-santacruz-west/order","50% OFF up to 100","16 min","Kwality Wall’s Frozen Dessert and Ice Cream Shop","4.4","star-fill","Ice Cream, Desserts","₹200 for one","100+ orders placed from here recently","Restaurant partner follows WHO protocol","100+ orders placed from here recently","https://www.zomato.com/mumbai/nic-ice-creams-vile-parle-west/order","50% OFF","19 min","NIC Ice Creams","","","Ice Cream, Desserts","1800+ orders placed from here recently","50% OFF up to 100","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","29 min","https://b.zmtcdn.com/data/o2_assets/0b07ef18234c6fdf9365ad1c274ae0631612687510.png","https://www.zomato.com/mumbai/juhu-restaurants","https://b.zmtcdn.com/data/o2_assets/0b07ef18234c6fdf9365ad1c274ae0631612687510.png","https://www.zomato.com/mumbai/starboy-pizza-shakes-andheri-lokhandwala/order","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","Pizza, Italian, Desserts, Shake, Beverages","₹200 for one","Starboy Pizza & Shakes","3.5","star-fill","1525+ orders placed from here recently","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/juhu-restaurants","1525+ orders placed from here recently","https://b.zmtcdn.com/data/o2_assets/695598f38d29d0e5d3f8ffe57cfdb94c1613145422.png","","","","https://b.zmtcdn.com/data/o2_assets/695598f38d29d0e5d3f8ffe57cfdb94c1613145422.png","https://b.zmtcdn.com/data/o2_assets/4bf016f32f05d26242cea342f30d47a31595763089.png","https://www.zomato.com/mumbai/juhu-restaurants","4.4","star-fill","",""
"https://www.zomato.com/mumbai/juhu-restaurants","https://www.zomato.com/mumbai/juhu-restaurants","https://www.zomato.com/mumbai/juhu-restaurants","https://www.zomato.com/mumbai/juhu-restaurants","https://www.zomato.com/mumbai/juhu-restaurants","https://www.zomato.com/mumbai/juhu-restaurants","https://www.zomato.com/mumbai/juhu-restaurants","https://www.zomato.com/mumbai/juhu-restaurants","https://www.zomato.com/mumbai/juhu-restaurants","https://www.zomato.com/mumbai/juhu-restaurants","https://www.zomato.com/mumbai/baba-falooda-chat-corner-kurla/order","50% OFF up to 100","42 min","Baba Falooda Chat Corner","4.3","star-fill","Desserts, Beverages, Shake","₹200 for one","6050+ orders placed from here recently","Follows all Max Safety measures to ensure your food is safe","6050+ orders placed from here recently","https://www.zomato.com/mumbai/mojo-pizza-2x-toppings-vile-parle-west/order","50% OFF up to 100","30 min","MOJO Pizza - 2X Toppings","","","Wraps, North Indian, Fast Food, Biryani, Ice Cream, Desserts, Beverages","550+ orders placed from here recently","50% OFF up to 100","https://www.zomato.com/mumbai/juhu-restaurants","24 min","https://www.zomato.com/mumbai/juhu-restaurants","https://www.zomato.com/mumbai/juhu-restaurants","","https://www.zomato.com/mumbai/pizza-caprina-1-4-bungalows/order","","Pizza, Pasta, Sandwich, Fast Food, Salad","₹200 for one","Pizza Caprina","3.8","star-fill","2575+ orders placed from here recently","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/juhu-restaurants","2575+ orders placed from here recently","https://www.zomato.com/mumbai/juhu-restaurants","","https://www.zomato.com/mumbai/juhu-restaurants","","","","","4.3","star-fill","",""
