"sc-rbbb40-0","sc-rbbb40-0 2","sc-rbbb40-0 3","sc-1hez2tp-0","sc-1hez2tp-0 2","sc-rbbb40-0 4","sc-s1isp7-5 src","sc-s1isp7-5 src 2","sc-s1isp7-5 src 3","sc-1hez2tp-0 3","sc-s1isp7-5 src 4","sc-1hez2tp-0 4","sc-s1isp7-5 src 5","sc-1hez2tp-0 5","sc-s1isp7-5 src 6","sc-1hez2tp-0 6","sc-s1isp7-5 src 7","sc-1hez2tp-0 7","sc-s1isp7-5 src 8","sc-1hez2tp-0 8","sc-s1isp7-5 src 9","sc-1hez2tp-0 9","sc-s1isp7-5 src 10","sc-1hez2tp-0 10","sc-s1isp7-5 src 11","sc-1hez2tp-0 11","sc-s1isp7-5 src 12","sc-1hp8d8a-0","sc-1q7bklc-1","sc-1hp8d8a-0 2","sc-1q7bklc-1 2","sc-1hez2tp-0 13","sc-1hez2tp-0 14","sc-1hp8d8a-0 3","sc-1q7bklc-1 3","sc-1hez2tp-0 15","sc-1hez2tp-0 16","sc-1hez2tp-0 17","sc-1hez2tp-0 18","sc-s1isp7-5 src 13","sc-1hez2tp-0 19","sc-s1isp7-5 src 14","sc-s1isp7-5 src 15","sc-s1isp7-5 src 16","sc-s1isp7-5 src 17","sc-s1isp7-5 src 18","sc-1hez2tp-0 21","sc-s1isp7-5 src 19","sc-s1isp7-5 src 20","sc-s1isp7-5 src 21","sc-jGFFOr href","sc-jGFFOr href 2","sc-jGFFOr href 3","sc-1q7bklc-1 4","sc-1hez2tp-0 22"
"location-fill","down-triangle","current-location","Detect current location","Using GPS","Search","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","https://b.zmtcdn.com/data/o2_assets/c0bb85d3a6347b2ec070a8db694588261616149578.png?output-format=webp","https://b.zmtcdn.com/data/o2_assets/78d25215ff4c1299578ed36eefd5f39d1616149985.png?output-format=webp","https://b.zmtcdn.com/data/o2_assets/01040767e4943c398e38e3592bb1ba8a1616150142.png?output-format=webp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"filter","chevron-down","chevron-down","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Biryani","Pizza","","https://b.zmtcdn.com/data/dish_images/d19a31d42d5913ff129cafd7cec772f81639737697.png","https://b.zmtcdn.com/data/o2_assets/d0bd7c9405ac87f6aa65e31fe55800941632716575.png","https://b.zmtcdn.com/data/dish_images/ccb7dc2ba2b054419f805da7f05704471634886169.png","Burger","https://b.zmtcdn.com/data/dish_images/197987b7ebcd1ee08f8c25ea4e77e20f1634731334.png","Chicken","https://b.zmtcdn.com/data/o2_assets/52eb9796bb9bcf0eba64c643349e97211634401116.png","Thali","https://b.zmtcdn.com/data/dish_images/d5ab931c8c239271de45e1c159af94311634805744.png","Cake","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","Sandwich","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","Idli","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","Rolls","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","Fried Rice","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","Paratha","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"star-fill","star-fill","star-fill","50% OFF up to 100","54 min","","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","North Indian, Mughlai, Biryani, Seafood, Chinese, Fast Food, Beverages","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","₹150 for one","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","3725+ orders placed from here recently","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","15 min","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","Burger, Fast Food, Desserts, Beverages","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","₹150 for one","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","15450+ orders placed from here recently","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","Follows all Max Safety measures to ensure your food is safe","","Unicon Family Restaurant","3.8","McDonald's","3.8","50% OFF up to 100","33 min","R Bhagat Tarrachand","4.1","North Indian, Fast Food, Street Food","₹150 for one","7525+ orders placed from here recently","","","","","","","","","","","","","","","","",""
"star-fill","star-fill","star-fill","60% OFF","46 min","","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","Biryani, North Indian","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","₹150 for one","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","5725+ orders placed from here recently","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","21 min","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","South Indian, North Indian, Chinese, Maharashtrian, Fast Food, Desserts, Shake, Beverages","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","₹150 for one","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","2600+ orders placed from here recently","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","House Of Biryan- Biryani, Kepsa And More","4.2","Vrindavan","4.2","50% OFF up to 100","44 min","Veg Sutra","4.1","North Indian, Chinese","₹150 for one","5700+ orders placed from here recently","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","5700+ orders placed from here recently","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","","","","","","","","","","",""
"star-fill","star-fill","star-fill","50% OFF up to 100","17 min","","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","Chinese, Asian, Momos","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","₹150 for one","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","3025+ orders placed from here recently","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","26 min","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","Fast Food, Burger, Rolls, Sandwich, Pizza, Beverages","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","₹150 for one","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","4075+ orders placed from here recently","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","Chinese Wok","3.8","Al-Baik","3.8","50% OFF up to 100","17 min","Burger King","4.0","Burger, Fast Food, Street Food, Desserts, Beverages","₹150 for one","9900+ orders placed from here recently","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","9900+ orders placed from here recently","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","3025+ orders placed from here recently","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","","","","",""
"chevron-up","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"chevron-down","chevron-down","chevron-down","Explore options near me","","chevron-down","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"chevron-down","language-globe","chevron-down","","","","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"star-fill","star-fill","star-fill","50% OFF up to 100","25 min","","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","Pizza, Italian, Pasta, Fast Food, Desserts","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","₹200 for one","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","5675+ orders placed from here recently","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","5675+ orders placed from here recently","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","16 min","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","Burger, Fast Food, Biryani, Beverages, Desserts","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","₹200 for one","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","Domino's Pizza","3.7","KFC","3.5","Follows all Max Safety measures to ensure your food is safe","7800+ orders placed from here recently","Thepla House By Tejal's Kitchen","4.2","50% OFF up to 100","51 min","Gujarati, Rajasthani, North Indian, South Indian, Street Food","₹200 for one","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","6600+ orders placed from here recently","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","6600+ orders placed from here recently","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/dominos-pizza-khar/order","https://www.zomato.com/mumbai/kfc-linking-road-bandra-west/order","https://www.zomato.com/mumbai/thepla-house-by-tejals-kitchen-santacruz-east/order","",""
