"sc-rbbb40-0","sc-rbbb40-0 2","sc-rbbb40-0 3","sc-1hez2tp-0","sc-1hez2tp-0 2","sc-rbbb40-0 4","sc-s1isp7-5 src","sc-s1isp7-5 src 2","sc-s1isp7-5 src 3","sc-1hez2tp-0 3","sc-s1isp7-5 src 4","sc-1hez2tp-0 4","sc-s1isp7-5 src 5","sc-1hez2tp-0 5","sc-s1isp7-5 src 6","sc-1hez2tp-0 6","sc-s1isp7-5 src 7","sc-1hez2tp-0 7","sc-s1isp7-5 src 8","sc-1hez2tp-0 8","sc-s1isp7-5 src 9","sc-1hez2tp-0 9","sc-s1isp7-5 src 10","sc-1hez2tp-0 10","sc-s1isp7-5 src 11","sc-1hez2tp-0 11","sc-s1isp7-5 src 12","sc-1hez2tp-0 12","sc-1hp8d8a-0","sc-1q7bklc-1","sc-1hp8d8a-0 2","sc-1q7bklc-1 2","sc-1hez2tp-0 13","sc-1hez2tp-0 14","sc-s1isp7-5 src 13","sc-s1isp7-5 src 14","sc-1hez2tp-0 15","sc-1hez2tp-0 16","sc-1hez2tp-0 17","sc-1hp8d8a-0 3","sc-1q7bklc-1 3","sc-1hez2tp-0 18","sc-1hez2tp-0 19","sc-s1isp7-5 src 16","sc-1hez2tp-0 20","sc-s1isp7-5 src 17","sc-1hez2tp-0 21","sc-s1isp7-5 src 18","sc-1hez2tp-0 22","sc-s1isp7-5 src 19","sc-s1isp7-5 src 20","sc-jGFFOr href","sc-jGFFOr href 2","sc-jGFFOr href 3","sc-1q7bklc-1 4"
"location-fill","down-triangle","current-location","Detect current location","Using GPS","Search","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","https://b.zmtcdn.com/data/o2_assets/c0bb85d3a6347b2ec070a8db694588261616149578.png?output-format=webp","https://b.zmtcdn.com/data/o2_assets/78d25215ff4c1299578ed36eefd5f39d1616149985.png?output-format=webp","https://b.zmtcdn.com/data/o2_assets/01040767e4943c398e38e3592bb1ba8a1616150142.png?output-format=webp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"filter","chevron-down","chevron-down","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Biryani","Pizza","","https://b.zmtcdn.com/data/dish_images/d19a31d42d5913ff129cafd7cec772f81639737697.png","https://b.zmtcdn.com/data/o2_assets/d0bd7c9405ac87f6aa65e31fe55800941632716575.png","https://b.zmtcdn.com/data/dish_images/197987b7ebcd1ee08f8c25ea4e77e20f1634731334.png","Chicken","https://b.zmtcdn.com/data/dish_images/d9766dd91cd75416f4f65cf286ca84331634805483.png","Idli","https://b.zmtcdn.com/data/dish_images/ccb7dc2ba2b054419f805da7f05704471634886169.png","Burger","https://b.zmtcdn.com/data/o2_assets/52eb9796bb9bcf0eba64c643349e97211634401116.png","Thali","https://www.zomato.com/mumbai/powai-restaurants","Cake","https://www.zomato.com/mumbai/powai-restaurants","Rolls","https://www.zomato.com/mumbai/powai-restaurants","Fried Rice","https://www.zomato.com/mumbai/powai-restaurants","Sandwich","https://www.zomato.com/mumbai/powai-restaurants","Paratha","https://www.zomato.com/mumbai/powai-restaurants","Dosa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"star-fill","star-fill","star-fill","50% OFF up to 100","45 min","","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","North Indian, Biryani, Sichuan, Chinese, Thai, Mughlai, Rolls","https://www.zomato.com/mumbai/powai-restaurants","₹300 for one","https://www.zomato.com/mumbai/powai-restaurants","4725+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/powai-restaurants","4725+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/powai-restaurants","33 min","https://www.zomato.com/mumbai/powai-restaurants","South Indian, North Indian, Sandwich, Street Food","https://www.zomato.com/mumbai/powai-restaurants","₹300 for one","https://www.zomato.com/mumbai/powai-restaurants","26475+ orders placed from here recently","Curry Culture","4.1","Gopala's Veg Kitchen","4.0","Follows all Max Safety measures to ensure your food is safe","26475+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","Pro extra 10% OFF","50% OFF up to 100","64 min","Eva's Pizza","4.0","Pizza, Fast Food, Sandwich, Salad","₹300 for one","https://www.zomato.com/mumbai/powai-restaurants","3025+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/powai-restaurants","3025+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","","","",""
"star-fill","star-fill","star-fill","50% OFF up to 100","63 min","","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","Chinese, Asian, Thai, Sichuan","https://www.zomato.com/mumbai/powai-restaurants","₹300 for one","https://www.zomato.com/mumbai/powai-restaurants","2175+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/powai-restaurants","2175+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/powai-restaurants","30 min","https://www.zomato.com/mumbai/powai-restaurants","Biryani, North Indian, Mughlai, Desserts, Beverages","https://www.zomato.com/mumbai/powai-restaurants","₹300 for one","https://www.zomato.com/mumbai/powai-restaurants","75+ orders placed from here recently","Peco Peco","4.2","ZAZA 22 Spice Biryani","4.4","Follows all Max Safety measures to ensure your food is safe","75+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","","50% OFF up to 100","30 min","MOJO Pizza - 2X Toppings","4.4","Wraps, North Indian, Fast Food, Biryani, Ice Cream, Desserts, Beverages","₹300 for one","https://www.zomato.com/mumbai/powai-restaurants","1075+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/powai-restaurants","1075+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","","","",""
"star-fill","star-fill","star-fill","50% OFF up to 100","30 min","","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","North Indian, Fast Food, Desserts, Beverages","https://www.zomato.com/mumbai/powai-restaurants","₹300 for one","https://www.zomato.com/mumbai/powai-restaurants","500+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/powai-restaurants","500+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/powai-restaurants","30 min","https://www.zomato.com/mumbai/powai-restaurants","North Indian, Biryani, Fast Food, Wraps, Ice Cream, Desserts, Beverages","https://www.zomato.com/mumbai/powai-restaurants","₹300 for one","https://www.zomato.com/mumbai/powai-restaurants","1650+ orders placed from here recently","NH1 Bowls - Highway To North","4.4","BOX8 - Desi Meals","4.3","Follows all Max Safety measures to ensure your food is safe","1650+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","Pro extra 15% OFF","50% OFF up to 100","57 min","Pizza Caprina","3.9","Pizza, Pasta, Sandwich, Fast Food, Salad","₹300 for one","https://www.zomato.com/mumbai/powai-restaurants","2600+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/powai-restaurants","2600+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","","","",""
"chevron-up","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"chevron-down","chevron-down","chevron-down","Explore options near me","","chevron-down","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"chevron-down","language-globe","chevron-down","","","","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"star-fill","star-fill","star-fill","Pro extra 15% OFF","50% OFF up to 100","","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","26 min","https://www.zomato.com/mumbai/powai-restaurants","North Indian, Chinese, Mughlai, Kebab","https://www.zomato.com/mumbai/powai-restaurants","₹200 for one","https://www.zomato.com/mumbai/powai-restaurants","5400+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/powai-restaurants","5400+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","24 min","https://www.zomato.com/mumbai/powai-restaurants","Burger, Fast Food, Desserts, Beverages","https://www.zomato.com/mumbai/powai-restaurants","₹200 for one","https://www.zomato.com/mumbai/powai-restaurants","3475+ orders placed from here recently","Powai Darbar","3.6","McDonald's","4.1","50% OFF up to 100","21 min","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","Burger, Fast Food, Biryani, Beverages, Desserts","₹200 for one","8200+ orders placed from here recently","KFC","4.0","Follows all Max Safety measures to ensure your food is safe","8200+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","","","","","","","","https://www.zomato.com/mumbai/powai-darbar-powai/order","https://www.zomato.com/mumbai/mcdonalds-powai/order","https://www.zomato.com/mumbai/kfc-powai/order",""
"star-fill","star-fill","star-fill","","50% OFF up to 100","","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","24 min","https://www.zomato.com/mumbai/powai-restaurants","Healthy Food, Fast Food, Sandwich, Salad, Wraps, Beverages","https://www.zomato.com/mumbai/powai-restaurants","₹200 for one","https://www.zomato.com/mumbai/powai-restaurants","8200+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/powai-restaurants","8200+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","24 min","https://www.zomato.com/mumbai/powai-restaurants","North Indian, South Indian, Street Food, Desserts, Beverages, Ice Cream","https://www.zomato.com/mumbai/powai-restaurants","₹200 for one","https://www.zomato.com/mumbai/powai-restaurants","2575+ orders placed from here recently","Subway","3.9","JOSHH- India Ka Apna Taste","4.0","50% OFF up to 100","24 min","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","Pizza, Fast Food, Desserts, Beverages","₹200 for one","4800+ orders placed from here recently","Pizza Hut","3.5","Follows all Max Safety measures to ensure your food is safe","4800+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","50% OFF up to 100","","","","","","","https://www.zomato.com/mumbai/subway-1-powai/order","https://www.zomato.com/mumbai/joshh-india-ka-apna-taste-powai/order","https://www.zomato.com/mumbai/pizza-hut-2-powai/order",""
